Time (s),Channel 1 (V),Channel 2 (V)
-0.0006106456305252209,-0.9936492739714317,0.005292997587198571
-0.0006105156305252211,-0.9933081069447218,0.004608563927597413
-0.000610385630525221,-0.9922846058645917,0.003581913438195055
-0.0006102556305252211,-0.9926257728913015,0.003924130267995634
-0.000610125630525221,-0.9919434388378807,0.003239696608393542
-0.0006099956305252211,-0.9909199377577512,0.002555262948792386
-0.000609865630525221,-0.9909199377577512,0.002897479778592497
-0.0006097356305252209,-0.9919434388378799,0.001870829289189672
-0.0006096056305252211,-0.9905787707310406,0.001186395629588515
-0.000609475630525221,-0.9895552696509098,0.001528612459389404
-0.0006093456305252211,-0.9892141026242,0.001528612459389404
-0.000609215630525221,-0.9881906015440695,0.0001597451401855337
-0.0006090856305252211,-0.9881906015440695,-0.000182471689615045
-0.000608955630525221,-0.9875082674906492,-0.0008669053492171361
-0.0006088256305252211,-0.9875082674906492,-0.001551339008818293
-0.000608695630525221,-0.985802432357098,-0.001893555838619806
-0.0006085656305252209,-0.9847789312769677,-0.002577989498221586
-0.0006084356305252211,-0.9844377642502579,-0.002920206328022164
-0.000608305630525221,-0.9840965972235486,-0.003262423157823988
-0.0006081756305252211,-0.9851200983036781,-0.004289073647225724
-0.000608045630525221,-0.9834142631701269,-0.004289073647225724
-0.0006079156305252211,-0.9823907620899973,-0.004289073647225724
-0.000607785630525221,-0.9817084280365765,-0.005657940966429438
-0.0006076556305252209,-0.9817084280365751,-0.006000157796231107
-0.000607525630525221,-0.9806849269564462,-0.006684591455832108
-0.000607395630525221,-0.9806849269564449,-0.007026808285633466
-0.0006072656305252211,-0.9793202588496055,-0.007711241945234622
-0.000607135630525221,-0.9786379247961845,-0.00839567560483578
-0.0006070056305252211,-0.9779555907427649,-0.007711241945234622
-0.000606875630525221,-0.9779555907427645,-0.00839567560483687
-0.0006067456305252211,-0.9769320896626349,-0.009422326094238606
-0.000606615630525221,-0.976590922635924,-0.01044897658364174
-0.0006064856305252209,-0.9759085885825031,-0.01044897658364236
-0.0006063556305252211,-0.9748850875023736,-0.01113341024324352
-0.000606225630525221,-0.9748850875023727,-0.01147562707304441
-0.0006060956305252211,-0.9738615864222431,-0.01147562707304441
-0.000605965630525221,-0.9728380853421126,-0.01181784390284561
-0.0006058356305252211,-0.9728380853421126,-0.01216006073264619
-0.000605705630525221,-0.9714734172352719,-0.01216006073264681
-0.0006055756305252209,-0.971132250208561,-0.01352892805184975
-0.000605445630525221,-0.9704499161551411,-0.01352892805184975
-0.0006053156305252209,-0.969426415075011,-0.01352892805185068
-0.0006051856305252211,-0.969426415075011,-0.01455557854125242
-0.000605055630525221,-0.9687440810215898,-0.01558222903065447
-0.0006049256305252211,-0.9677205799414603,-0.01489779537105331
-0.000604795630525221,-0.9677205799414597,-0.0155822290306554
-0.0006046656305252211,-0.9663559118346203,-0.01626666269025656
-0.000604535630525221,-0.9646500767010688,-0.01660887952005792
-0.0006044056305252209,-0.9643089096743588,-0.01695109634985865
-0.000604275630525221,-0.9643089096743583,-0.01695109634985881
-0.000604145630525221,-0.9632854085942274,-0.01729331317966016
-0.0006040156305252211,-0.9622619075140978,-0.01797774683926132
-0.000603885630525221,-0.9622619075140959,-0.01900439732866337
-0.0006037556305252211,-0.9602149053538369,-0.01831996366906221
-0.000603625630525221,-0.9595325713004162,-0.01934661415846472
-0.0006034956305252211,-0.9588502372469967,-0.01900439732866415
-0.000603365630525221,-0.9578267361668658,-0.01968883098826561
-0.0006032356305252209,-0.9574855691401545,-0.01934661415846644
-0.0006031056305252211,-0.956120901033315,-0.02105769830746933
-0.000602975630525221,-0.9547562329264736,-0.02139991513727084
-0.0006028456305252211,-0.953732731846344,-0.022084348796872
-0.000602715630525221,-0.9523680637395031,-0.02276878245647346
-0.0006025856305252211,-0.9520268967127934,-0.02242656562667305
-0.000602455630525221,-0.9503210615792423,-0.02311099928627467
-0.0006023256305252209,-0.9499798945525304,-0.02311099928627514
-0.000602195630525221,-0.9486152264456914,-0.02345321611607587
-0.0006020656305252209,-0.9479328923922705,-0.02413764977567796
-0.0006019356305252211,-0.9469093913121409,-0.02482208343527912
-0.000601805630525221,-0.946227057258719,-0.02516430026508032
-0.0006016756305252211,-0.9445212221251699,-0.0255065170948809
-0.000601545630525221,-0.9434977210450393,-0.02584873392468179
-0.0006014156305252211,-0.9431565540183293,-0.02584873392468179
-0.000601285630525221,-0.9417918859114883,-0.02653316758428357
-0.0006011556305252209,-0.9411095518580664,-0.02653316758428403
-0.0006010256305252211,-0.9397448837512277,-0.02687538441408446
-0.000600895630525221,-0.9397448837512268,-0.02755981807368686
-0.0006007656305252211,-0.9387213826710973,-0.02824425173328802
-0.000600635630525221,-0.9370155475375458,-0.02824425173328864
-0.0006005056305252211,-0.9363332134841261,-0.0289286853928898
-0.000600375630525221,-0.9353097124039951,-0.0289286853928898
-0.0006002456305252211,-0.9339450442971557,-0.0289286853928898
-0.000600115630525221,-0.9329215432170243,-0.03029755271209304
-0.0005999856305252209,-0.9318980421368933,-0.0296131190524922
-0.0005998556305252211,-0.9308745410567637,-0.03029755271209335
-0.000599725630525221,-0.9288275388965025,-0.03029755271209398
-0.0005995956305252211,-0.9284863718697927,-0.03098198637169514
-0.000599465630525221,-0.9274628707896617,-0.03166642003129707
-0.0005993356305252211,-0.9264393697095322,-0.03200863686109765
-0.000599205630525221,-0.9257570356561108,-0.0323508536908987
-0.0005990756305252209,-0.9243923675492693,-0.0323508536908987
