Time (s),Channel 1 (V),Channel 2 (V)
-0.001023982142857143,5.17559028936454,0.01042625003421254
-0.001023732142857143,5.18307946968365,0.009741816374610296
-0.001023482142857143,5.194313240162296,0.00871516588520856
-0.001023232142857143,5.205547010640953,0.008030732225606622
-0.001022982142857143,5.216780781119616,0.007346298566004533
-0.001022732142857143,5.228014551598273,0.006661864906402753
-0.001022482142857143,5.235503731917378,0.005635214417000083
-0.001022232142857143,5.246737502396038,0.005292997587198882
-0.001021982142857143,5.254226682715143,0.004608563927597258
-0.001021732142857143,5.261715863034241,0.004266347097796679
-0.001021482142857143,5.265460453193797,0.003581913438194744
-0.001021232142857143,5.269205043353349,0.002897479778592964
-0.001020982142857143,5.272949633512901,0.002213046118991184
-0.001020732142857143,5.280438813832006,0.001870829289190294
-0.001020482142857143,5.284183403991562,0.001186395629588203
-0.001020232142857143,5.29167258431066,0.0005019619699870461
-0.001019982142857143,5.295417174470214,-0.0001824716896147337
-0.001019732142857143,5.302906354789321,-0.0008669053492168248
-0.001019482142857143,5.310395535108426,-0.001551339008818605
-0.001019232142857143,5.314140125267977,-0.002577989498221274
-0.001018982142857143,5.31788471542753,-0.00326242315782321
-0.001018732142857143,5.31788471542753,-0.003604639987624411
-0.001018482142857143,5.31788471542753,-0.004631290477026147
-0.001018232142857143,5.325373895746631,-0.004973507306827349
-0.001017982142857143,5.321629305587082,-0.005315724136628393
-0.001017732142857143,5.329118485906188,-0.005657940966429283
-0.001017482142857143,5.329118485906188,-0.006342374626031063
-0.001017232142857143,5.329118485906188,-0.007026808285632998
-0.001016982142857143,5.329118485906186,-0.007369025115434045
-0.001016732142857143,5.325373895746637,-0.008053458775035202
-0.001016482142857143,5.325373895746635,-0.009080109264438183
-0.001016232142857143,5.325373895746635,-0.009764542924039962
-0.001015982142857143,5.321629305587082,-0.009764542924039962
-0.001015732142857143,5.314140125267977,-0.01079119341344279
-0.001015482142857143,5.314140125267977,-0.01113341024324383
-0.001015232142857143,5.314140125267977,-0.01181784390284499
-0.001014982142857143,5.310395535108428,-0.01250227756244677
-0.001014732142857143,5.306650944948873,-0.01284449439224797
-0.001014482142857143,5.295417174470216,-0.01387114488165064
-0.001014232142857143,5.299161764629768,-0.01455557854125242
-0.001013982142857143,5.295417174470212,-0.01524001220085436
-0.001013732142857143,5.287927994151108,-0.01558222903065556
-0.001013482142857143,5.28043881383201,-0.01660887952005729
-0.001013232142857143,5.272949633512901,-0.01729331317965954
-0.001012982142857143,5.269205043353349,-0.01797774683926132
-0.001012732142857143,5.257971272874692,-0.01831996366906221
-0.001012482142857143,5.25422668271514,-0.01900439732866399
-0.001012232142857143,5.246737502396029,-0.01968883098826608
-0.001011982142857143,5.235503731917383,-0.02037326464786724
-0.001011732142857143,5.228014551598276,-0.02071548147766828
-0.001011482142857143,5.216780781119616,-0.02105769830746933
-0.001011232142857143,5.201802420481406,-0.02174213196707111
-0.001010982142857143,5.194313240162302,-0.02242656562667289
-0.001010732142857143,5.186824059843193,-0.02276878245647393
-0.001010482142857143,5.179334879524086,-0.02311099928627529
-0.001010232142857143,5.16810110904544,-0.0244798666054776
-0.001009982142857143,5.153122748407226,-0.02447986660547823
-0.001009732142857143,5.138144387769016,-0.0255065170948809
-0.001009482142857143,5.130655207449911,-0.0255065170948809
-0.001009232142857143,5.115676846811701,-0.02687538441408446
-0.001008982142857143,5.100698486173483,-0.02721760124388566
-0.001008732142857143,5.081975535375739,-0.02790203490348682
-0.001008482142857143,5.066997174737527,-0.02824425173328786
-0.001008232142857143,5.052018814099311,-0.0289286853928898
-0.001007982142857143,5.037040453461102,-0.02961311905249158
-0.001007732142857143,5.029551273141997,-0.02995533588229247
-0.001007482142857143,5.010828322344226,-0.03063976954189456
-0.001007232142857143,4.992105371546468,-0.03132420320149634
-0.001006982142857143,4.980871601067821,-0.03200863686109749
-0.001006732142857143,4.962148650270054,-0.03269307052069959
-0.001006482142857143,4.947170289631845,-0.03303528735050047
-0.001006232142857143,4.928447338834083,-0.03337750418030137
-0.001005982142857143,4.90972438803632,-0.03406193783990315
-0.001005732142857143,4.887256847078999,-0.03440415466970435
-0.001005482142857143,4.872278486440804,-0.0350885883293055
-0.001005232142857143,4.849810945483493,-0.03611523881870802
-0.001004982142857143,4.827343404526168,-0.03645745564850937
-0.001004732142857143,4.808620453728406,-0.03748410613791205
-0.001004482142857143,4.789897502930645,-0.03782632296771293
-0.001004232142857143,4.767429961973319,-0.03816853979751398
-0.001003982142857143,4.741217830856453,-0.03851075662731471
-0.001003732142857143,4.71875028989916,-0.03851075662731471
-0.001003482142857143,4.692538158782282,-0.0391951902869165
-0.001003232142857143,4.670070617824968,-0.03987962394651828
-0.001002982142857143,4.643858486708101,-0.03987962394651828
-0.001002732142857143,4.621390945750787,-0.04056405760612005
-0.001002482142857143,4.598923404793462,-0.04124849126572198
-0.001002232142857143,4.576455863836169,-0.04159070809552257
-0.001001982142857143,4.550243732719303,-0.04227514175512419
-0.001001732142857143,4.527776191761977,-0.04261735858492539
-0.001001482142857143,4.497819470485559,-0.04295957541472628
-0.001001232142857143,4.471607339368692,-0.04398622590412895
-0.001000982142857143,4.445395208251812,-0.04398622590412926
-0.001000732142857143,4.415438486975392,-0.04467065956373088
-0.001000482142857143,4.385481765699001,-0.04501287639353147
-0.001000232142857143,4.355525044422568,-0.0456973100531334
-0.000999982142857143,4.325568323146149,-0.04603952688293429
-0.0009997321428571429,4.291867011710178,-0.04638174371273518
-0.0009994821428571429,4.261910290433758,-0.04672396054253607
-0.0009992321428571429,4.231953569157326,-0.04706617737233743
-0.000998982142857143,4.201996847880934,-0.04809282786173916
-0.000998732142857143,4.164550946285413,-0.04843504469154037
-0.000998482142857143,4.13833881516853,-0.04843504469154052
-0.0009982321428571429,4.108382093892111,-0.0491194783511423
-0.0009979821428571429,4.074680782456139,-0.0491194783511423
-0.0009977321428571429,4.044724061179705,-0.05014612884054512
-0.0009974821428571428,4.011022749743733,-0.05048834567034586
-0.000997232142857143,3.977321438307792,-0.05048834567034586
-0.000996982142857143,3.943620126871806,-0.05117277932994764
-0.000996732142857143,3.909918815435834,-0.05185721298954942
-0.0009964821428571429,3.876217503999863,-0.0525416466491512
-0.0009962321428571429,3.846260782723443,-0.0525416466491512
-0.0009959821428571429,3.808814881127904,-0.05288386347895255
-0.000995732142857143,3.775113569691964,-0.05391051396835429
-0.000995482142857143,3.737667668096441,-0.0542527307981555
-0.000995232142857143,3.703966356660453,-0.05459494762795654
-0.0009949821428571429,3.662775864905377,-0.05493716445775743
-0.0009947321428571429,3.629074553469406,-0.0559638149471601
-0.0009944821428571429,3.599117832192968,-0.05596381494716041
-0.0009942321428571428,3.557927340437893,-0.05664824860676188
-0.000993982142857143,3.520481438842403,-0.05664824860676188
-0.000993732142857143,3.48678012740643,-0.05699046543656262
-0.000993482142857143,3.445589635651339,-0.05699046543656277
-0.0009932321428571429,3.408143734055815,-0.05733268226636366
-0.0009929821428571429,3.370697832460291,-0.05801711592596544
-0.0009927321428571429,3.33325193086475,-0.05835933275576632
-0.0009924821428571428,3.295806029269227,-0.05835933275576648
-0.000992232142857143,3.258360127673736,-0.05870154958556707
-0.000991982142857143,3.217169635918643,-0.059385983245169
-0.0009917321428571429,3.175979144163567,-0.059385983245169
-0.0009914821428571429,3.131044062248939,-0.06007041690477078
-0.0009912321428571429,3.093598160653415,-0.06075485056437255
-0.0009909821428571428,3.056152259057874,-0.06075485056437287
-0.000990732142857143,3.018706357462384,-0.06143928422397402
-0.000990482142857143,2.973771275547759,-0.0610970673941736
-0.000990232142857143,2.936325373952215,-0.06143928422397434
-0.0009899821428571429,2.898879472356691,-0.06178150105377523
-0.0009897321428571429,2.857688980601615,-0.06212371788357612
-0.0009894821428571429,2.816498488846523,-0.06246593471337716
-0.0009892321428571428,2.782797177410544,-0.06280815154317805
-0.000988982142857143,2.734117505336409,-0.06315036837297865
-0.000988732142857143,2.700416193900415,-0.0631503683729788
-0.0009884821428571429,2.655481111985786,-0.06349258520277967
-0.0009882321428571429,2.610546030071157,-0.06349258520277967
-0.0009879821428571429,2.569355538316081,-0.06417701886238145
-0.0009877321428571428,2.520675866241883,-0.0641770188623816
-0.000987482142857143,2.483229964646394,-0.06451923569218219
-0.000987232142857143,2.438294882731769,-0.0641770188623816
-0.000986982142857143,2.397104390976672,-0.06520366935178412
-0.0009867321428571429,2.352169309062043,-0.06520366935178412
-0.0009864821428571429,2.307234227147414,-0.06554588618158502
-0.0009862321428571429,2.262299145232765,-0.06554588618158502
-0.0009859821428571428,2.217364063318138,-0.06554588618158518
-0.000985732142857143,2.176173571563099,-0.06588810301138574
-0.000985482142857143,2.1274938994889,-0.06691475350078857
-0.0009852321428571429,2.086303407733824,-0.06725697033058947
-0.0009849821428571429,2.045112915978748,-0.06759918716039034
-0.0009847321428571429,2.000177834064119,-0.06759918716039034
-0.0009844821428571428,1.962731932468575,-0.06759918716039034
-0.000984232142857143,1.917796850553987,-0.06759918716039034
-0.000983982142857143,1.872861768639358,-0.06759918716039034
-0.000983732142857143,1.824182096565157,-0.06828362081999215
-0.0009834821428571429,1.782991604810081,-0.06759918716039034
-0.0009832321428571429,1.738056522895452,-0.06862583764979302
-0.0009829821428571429,1.693121440980802,-0.06862583764979287
-0.0009827321428571428,1.644441768906622,-0.0682836208199923
-0.000982482142857143,1.599506686992034,-0.06862583764979287
-0.000982232142857143,1.550827014917833,-0.06896805447959392
-0.0009819821428571429,1.513381113322309,-0.0696524881391957
-0.0009817321428571429,1.460956851088576,-0.0696524881391957
-0.0009814821428571429,1.416021769173947,-0.07033692179879747
-0.0009812321428571428,1.367342097099748,-0.06999470496899675
-0.000980982142857143,1.326151605344709,-0.07033692179879732
-0.000980732142857143,1.277471933270532,-0.06999470496899675
-0.000980482142857143,1.236281441515433,-0.0699947049689966
-0.0009802321428571429,1.1838571792817,-0.07033692179879747
-0.0009799821428571429,1.138922097367071,-0.07067913862859837
-0.0009797321428571429,1.09398701545242,-0.07102135545839924
-0.0009794821428571428,1.045307343378241,-0.07102135545839909
-0.000979232142857143,1.000372261463653,-0.07067913862859852
-0.000978982142857143,0.9554371795490043,-0.07136357228820014
-0.000978732142857143,0.9067575074748234,-0.07136357228820014
-0.0009784821428571429,0.8580778354006424,-0.07136357228820014
-0.0009782321428571429,0.8131427534860138,-0.07136357228820014
-0.0009779821428571429,0.7644630814118107,-0.07170578911800074
-0.000977732142857143,0.7157834093376739,-0.07102135545839955
-0.000977482142857143,0.667103737263493,-0.07170578911800074
-0.000977232142857143,0.6221686553488424,-0.07170578911800105
-0.0009769821428571429,0.5734889832746614,-0.07204800594780192
-0.0009767321428571429,0.5322984915195851,-0.07239022277760282
-0.0009764821428571429,0.4798742292858518,-0.07239022277760282
-0.0009762321428571428,0.4386837375307756,-0.07239022277760282
-0.0009759821428571428,0.3862594752970422,-0.07204800594780192
-0.0009757321428571428,0.3413243933824136,-0.07239022277760282
-0.0009754821428571428,0.2926447213082327,-0.07204800594780192
-0.0009752321428571428,0.247709639393604,-0.07239022277760282
-0.0009749821428571428,0.1990299673194231,-0.07239022277760282
-0.0009747321428571429,0.1503502952452421,-0.07204800594780192
-0.0009744821428571428,0.1016706231710611,-0.07239022277760282
-0.0009742321428571428,0.06048013141598493,-0.07239022277760282
-0.0009739821428571429,0.01180045934180396,-0.07273243960740369
-0.0009737321428571428,-0.03313462257282463,-0.07239022277760282
-0.0009734821428571428,-0.07432511432790084,-0.07204800594780192
-0.0009732321428571429,-0.1267493765616342,-0.07136357228820014
-0.0009729821428571428,-0.1716844584762628,-0.07204800594780192
-0.0009727321428571428,-0.2203641305504438,-0.07239022277760282
-0.0009724821428571428,-0.2690438026246247,-0.07170578911800105
-0.0009722321428571428,-0.3139788845392533,-0.07204800594780192
-0.0009719821428571428,-0.3664031467729867,-0.07170578911800105
-0.0009717321428571428,-0.4113382286876153,-0.07136357228820014
