Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-72.51329333825339,0
4.8828125,-72.80638407890947,176.9486596107838
9.765625,-76.23183484807622,169.912796084658
14.6484375,-85.04151673434622,150.1181927495912
19.53125,-90.17787994304761,127.127704040027
24.4140625,-91.15553729883713,144.3045722794436
29.296875,-91.25225285427962,155.2281728292821
34.1796875,-89.43569207116536,158.2541744515398
39.0625,-82.31576243860945,143.5798968177905
43.9453125,-77.94250667248539,127.2199209008802
48.828125,-77.35738987915057,119.7389970061459
53.7109375,-77.50683190052871,120.8377329374577
58.59375,-79.82625691901457,121.1303800064779
63.4765625,-87.26950112332788,128.2349032114982
68.359375,-92.44323192364399,19.37918105661053
73.2421875,-91.44135261734496,72.42501418629067
78.125,-90.43558826071245,82.95979956614606
83.0078125,-89.710252041931,86.1874392015398
87.890625,-89.02145160848315,85.7836291631106
92.7734375,-88.02579046230525,80.79618089856385
97.65625,-87.59189344040365,83.49551772810409
102.5390625,-87.05794233751104,82.72650182984377
107.421875,-87.00108678682228,75.35947918984839
112.3046875,-87.5847011232073,78.94547384829892
117.1875,-88.37932035347774,89.25516636913171
122.0703125,-89.3676701031965,61.62365772522379
126.953125,-90.45055572566727,127.1909414826266
131.8359375,-91.17834826952175,76.16396856097552
136.71875,-90.05751474110134,109.9967307253832
141.6015625,-86.18313548264608,136.0184347795511
146.484375,-84.53839520460873,99.95114494973132
151.3671875,-84.39398982799375,88.05616707187167
156.25,-84.90700245086592,95.18999620335393
161.1328125,-87.65375316753195,91.59410080152453
166.015625,-89.78594702984439,81.0502359788683
170.8984375,-90.86897583663,85.56207393945427
175.78125,-91.1398296028156,103.1368026164893
180.6640625,-91.04656326684179,118.1000036980918
185.546875,-91.41414075755371,129.1777035426666
190.4296875,-91.63297582593455,128.5032400150419
195.3125,-91.23681075079814,117.1715510791369
200.1953125,-90.80966765949924,103.5322165519554
205.078125,-90.95471182499013,89.39583788778867
209.9609375,-91.56222390447732,72.31371536155157
214.84375,-91.75218018215145,9.349055611727158
219.7265625,-91.66731130714598,131.8257977570504
224.609375,-91.77178653621019,117.1090283260555
229.4921875,-92.16772439644322,113.2357394303013
234.375,-91.96517840108582,79.78504202467944
239.2578125,-91.48415777598493,23.31166070761459
244.140625,-90.9920457502665,9.241631008887296
249.0234375,-91.17078058936364,6.158913092707979
253.90625,-91.31462247344015,179.0648670540558
258.7890625,-91.76224632144508,154.2579232135441
263.671875,-91.93488562869588,103.4520208424756
268.5546875,-91.59353458932252,79.21330240591486
273.4375,-91.0786527190551,52.07114786379511
278.3203125,-90.82286079936503,36.22429906717198
283.203125,-90.67966594139702,28.84890557266213
288.0859375,-90.9297343307409,18.07075412815194
292.96875,-91.03185228511933,10.27008408448958
297.8515625,-91.63983815898733,0.8577045427007653
302.734375,-91.97600868156384,146.9367784167436
307.6171875,-91.77710301244883,128.9429048691176
312.5,-92.15795915688416,161.7891496408417
317.3828125,-92.35916428074377,173.8760605648071
322.265625,-92.00627777980776,10.9887664347148
327.1484375,-91.14257337194076,32.45020592612494
332.03125,-89.98618403593395,43.17845688722494
336.9140625,-89.43085856960776,45.41022808889029
341.796875,-89.26379865430371,40.61913542026407
346.6796875,-89.06816733231068,25.49214260192368
351.5625,-88.81459757541579,5.909990586633994
356.4453125,-88.72232237485935,4.482753346210167
361.328125,-89.57642531460402,13.52523807685372
366.2109375,-90.31749930170812,32.02171279737318
371.09375,-90.88842071563116,26.425498664142
375.9765625,-91.60267626233797,23.06338747112812
380.859375,-91.76119629339473,28.85931106209497
385.7421875,-91.71374919139909,47.61598405684386
390.625,-91.44454516738323,75.62340099618066
395.5078125,-90.85245932764997,100.4098200202252
400.390625,-90.49232301289732,113.9886105242913
405.2734375,-90.47838109129499,122.2619413853929
410.15625,-91.35485341862787,162.2724170994583
415.0390625,-92.13921309996749,167.0131320671555
419.921875,-92.20353223850731,10.9487754843539
424.8046875,-92.13450972948154,20.30091874359493
429.6875,-92.06794965918201,23.6294097686944
434.5703125,-92.08760721583984,6.360708467338231
