Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2000.000000000001,0.05252006227970822,-45.31069420462333,-90.80191222287317
2004.6104761558,0.05238706851649296,-45.31756875042885,-90.5486719712062
2009.231580556791,0.05509278791067745,-45.24651836755413,-90.7136033977128
2013.863337703609,0.05425140917658884,-45.27142380699563,-90.61771151259364
2018.50577215337,0.05460966104742479,-45.17893989895595,-91.01880030323753
2023.158908519798,0.05295757917264808,-45.20950730835509,-90.64539647249313
2027.82277147336,0.0558672194125034,-45.22504992571712,-90.59402632767431
2032.497385741392,0.05716907631799552,-45.13921406450585,-90.78332927094237
2037.182776108235,0.05468874037639967,-45.18991463377063,-90.99481979431516
2041.878967415361,0.05523234929847981,-45.15696340117727,-90.44510423012156
2046.58598456151,0.0528940727072414,-45.14911597060583,-90.83651579007488
2051.303852502816,0.0562217338276723,-45.07276176925619,-90.37765238400476
2056.032596252948,0.05400396882486774,-45.093922464523,-90.6254052778396
2060.772240883233,0.05440966990791372,-45.026843046179,-91.24050826988639
2065.522811522796,0.05624611890554836,-45.03040248805618,-91.05187656565961
2070.284333358689,0.05506266447701863,-44.96466517544463,-90.96372248945615
2075.056831636026,0.05750825580937559,-44.9613699688976,-90.73732761968466
2079.84033165812,0.05914018248305868,-44.87022852464254,-90.41197574340981
2084.634858786609,0.05633067811410894,-44.8575179819063,-90.94270444193103
2089.440438441601,0.05687276385083541,-44.86712037228835,-90.82856143189622
2094.2570961018,0.05557971892083968,-44.85904344653334,-90.68211387325641
2099.084857304646,0.06155529080360781,-44.86743481354076,-90.37926416913074
2103.923747646447,0.05464654849909885,-44.82106060303553,-90.89832729116637
2108.773792782519,0.06120331780136266,-44.79202201487729,-90.82001781663223
2113.635018427318,0.06090991193513491,-44.66967274670878,-90.34999112097262
2118.507450354579,0.05308256051219047,-44.70259602365978,-91.10990514052014
2123.391114397451,0.05999819400098105,-44.64990958211416,-90.79171729435943
2128.286036448633,0.05743219463460034,-44.70542144135543,-90.88111582499482
2133.192242460517,0.05925047800883955,-44.64737938765865,-90.8676343634107
2138.109758445317,0.05443292658848187,-44.62145425968308,-90.90446581840712
