Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-73.03114274376047,0
24.4140625,-72.15300112439239,175.7473288546314
48.828125,-73.11831886590083,173.4359711407976
73.2421875,-74.26634806065879,171.9357480734201
97.65625,-77.2204206498086,176.2005801131304
122.0703125,-81.08842616980118,7.286399980962414
146.484375,-81.30873903107934,25.41490488814063
170.8984375,-81.57061870669382,48.19228769627585
195.3125,-83.88488786613192,67.27703871394837
219.7265625,-88.41299968273876,85.73404341185538
244.140625,-89.69021382268245,102.7123927565724
268.5546875,-89.83569990944942,119.7759827551163
292.96875,-89.8623553049795,23.6751488832264
317.3828125,-89.11671251192095,61.46107640673498
341.796875,-88.54441793502411,65.67969409437592
366.2109375,-88.40223030492334,76.81233726611148
390.625,-88.64167796322313,87.1819738954192
415.0390625,-88.9903873315333,91.64306835823797
439.453125,-89.26438222672789,89.65962874689549
463.8671875,-89.69045658175506,69.87469891832718
488.28125,-90.47071365793917,27.50511543459679
512.6953125,-91.09687942361154,178.6023468327667
537.109375,-91.20273178332708,177.3061043128863
561.5234375,-91.06367204625576,7.947936720124993
585.9375,-90.95048501824994,31.01150401048123
610.3515625,-90.98533411239872,41.00190469938797
634.765625,-90.89573126391004,36.35258006666142
659.1796875,-90.84567285912127,35.90033433760556
683.59375,-90.91948775374264,37.91674853594852
708.0078125,-91.13983960062782,27.80444760617801
732.421875,-91.37940498266065,9.271674986134247
756.8359375,-91.57737550699771,162.0012821747606
781.25,-91.46875795406019,144.210087517909
805.6640625,-91.27255354577537,138.2945087158982
830.078125,-91.18435108807348,144.1169168521137
854.4921875,-91.29355229443027,66.84843857938444
878.90625,-91.28950635771804,118.5363879880089
903.3203125,-91.29440607456942,154.9909787267868
927.734375,-91.17542008296147,89.63735364102483
952.1484375,-91.08182849041441,107.0308732706426
976.5625,-91.21451340781867,110.3185439040963
1000.9765625,-91.52235395145689,114.5120454878771
1025.390625,-91.64268761700652,141.3136189314616
1049.8046875,-91.36905317478184,27.72721077579266
1074.21875,-91.30132027262904,35.88116462920532
1098.6328125,-91.47901226993297,28.48228686683694
1123.046875,-91.44658481665226,8.022275773254137
1147.4609375,-91.36995237742177,140.2208064770395
1171.875,-91.40690909637166,93.95450846076341
1196.2890625,-91.39089848614563,69.73924195026588
1220.703125,-91.22957128377871,33.98277458939437
1245.1171875,-91.10330244503433,1.104212860776715
1269.53125,-91.13536740588765,149.3469998814604
1293.9453125,-91.13758172522752,123.5486724944513
1318.359375,-91.17719135666064,110.072565709546
1342.7734375,-91.25153336812546,97.90703556095127
1367.1875,-91.10634781806944,86.91236340740579
1391.6015625,-91.13831916112012,81.71411249334626
1416.015625,-91.30986891324808,82.05280616049369
1440.4296875,-91.34350763258196,95.58557079053659
1464.84375,-91.3362047845621,121.3254040477722
1489.2578125,-91.28538095310381,148.1702401618768
1513.671875,-91.26123297049021,178.2529870630601
1538.0859375,-91.28607172480123,8.333872204346727
1562.5,-91.12026573790195,9.032963744383595
1586.9140625,-90.97650030360839,22.61313526144121
1611.328125,-91.21152350961302,27.7816912808936
1635.7421875,-91.42241581432791,139.8987727722866
1660.15625,-91.59811478017666,120.6542067244706
1684.5703125,-91.57311495030018,113.5928483357777
1708.984375,-91.52593304790493,101.3404791904769
1733.3984375,-91.50836631743789,114.1929128319531
1757.8125,-91.58615119932628,111.3034639780312
1782.2265625,-91.7036082775695,103.8384836884269
1806.640625,-91.60272795376937,87.32305708149013
1831.0546875,-91.5156760828971,55.23630346480989
1855.46875,-91.5057003431687,4.719523284306968
1879.8828125,-91.5091409007733,150.6400014500606
1904.296875,-91.50345800791136,130.455157797534
1928.7109375,-91.60420410372129,124.2270546834423
1953.125,-91.57042524382274,121.4973074077616
1977.5390625,-91.47332255778936,120.2173925124427
2001.953125,-91.37739125213344,124.6649836112189
2026.3671875,-91.38774776929603,126.4678227991841
2050.78125,-91.25145254513524,119.6048027859716
2075.1953125,-91.27842835028576,114.7959743361865
2099.609375,-91.34265680356305,141.3378385612889
2124.0234375,-91.34693833628452,38.78177665188588
2148.4375,-91.4993123549756,53.72577238119317
2172.8515625,-91.55023388686868,52.64055060619501
2197.265625,-91.47503325156731,33.34079797692505
2221.6796875,-91.43451241323908,136.462764889903
2246.09375,-91.32206969369476,80.42835720688112
2270.5078125,-91.21527037033988,85.29512529730933
2294.921875,-91.11495520797979,82.66086652640314
2319.3359375,-91.18234516244286,78.26217969620713
2343.75,-91.24187438597944,79.73228517852377
2368.1640625,-91.30601539288767,73.66137262567865
2392.578125,-91.38655391880502,66.40333369569034
2416.9921875,-91.32972126304733,7.894787755389487
2441.40625,-91.237522427697,160.9249084309187
2465.8203125,-91.14603292252937,136.2766260594594
2490.234375,-91.32794333664243,104.5379257225972
2514.6484375,-91.48657735769069,86.48073994284169
2539.0625,-91.36137605637259,85.20729574804457
2563.4765625,-91.18815829035594,61.79395987120191
2587.890625,-91.12304444152554,145.7438308958751
2612.3046875,-91.26256113243208,112.4191117603627
2636.71875,-91.32042973539748,112.1523348306355
2661.1328125,-91.10613194644111,118.9255040621472
2685.546875,-90.99668296457372,150.1555501864409
2709.9609375,-91.06401885304035,104.3963173694321
2734.375,-91.15936335101496,103.9828308493994
2758.7890625,-91.12227365240835,108.7022799653225
2783.203125,-90.94035756975713,115.7104309388068
2807.6171875,-91.04660280116394,126.9295999832479
2832.03125,-91.12543656544206,151.6239424755171
2856.4453125,-91.20398742003684,166.5531016111911
2880.859375,-91.37528382717159,157.4673966238277
2905.2734375,-91.48879300741962,144.0823063215379
2929.6875,-91.63888467713684,146.5641062111781
2954.1015625,-91.75952482952623,153.2209832432885
2978.515625,-91.73496837314499,151.7900477478544
3002.9296875,-91.52599014527924,158.1248807516927
3027.34375,-91.37382794401918,173.472958911394
3051.7578125,-91.28849785502467,170.3315252890814
3076.171875,-91.46005039613991,150.3062442247672
3100.5859375,-91.78129760571308,136.9203144005049
3125,-91.88504721697859,104.9225823057774
3149.4140625,-91.79866481033798,64.70662452123662
3173.828125,-91.61045500898922,53.70082171415113
3198.2421875,-91.58264580351535,14.29467258012744
3222.65625,-91.63002498670451,79.03139750291128
3247.0703125,-91.64846067015985,47.64982080936762
3271.484375,-91.64745162317539,31.81509025493868
3295.8984375,-91.74022101195972,18.8077569187491
3320.3125,-91.96495312056496,163.2833068779907
3344.7265625,-92.05954277158031,138.4073844049133
3369.140625,-91.96397836272048,135.0403472970026
3393.5546875,-92.08198337372286,127.7009434612564
3417.96875,-92.16852599657598,93.29457601771691
3442.3828125,-92.17641702748567,57.51383195942995
3466.796875,-92.10707771509279,34.65516996914556
3491.2109375,-92.05369459661867,20.09624535560743
3515.625,-91.94474427611182,9.725474494445821
3540.0390625,-91.95942463945289,165.647034540816
3564.453125,-91.98761594333034,137.0028549898109
3588.8671875,-91.86712767150149,122.219785073696
3613.28125,-91.76210312373384,107.7200873846795
3637.6953125,-91.68771077852897,109.8049427807622
3662.109375,-91.62995458619807,113.829395389007
3686.5234375,-91.59384104184161,108.4156710963586
3710.9375,-91.5284941485465,1.861166262601877
3735.3515625,-91.61342918979398,136.1308134621116
3759.765625,-91.69701980877139,138.0032053987632
3784.1796875,-91.68926503431378,142.1754955496181
3808.59375,-91.7659848887765,150.5808737236667
3833.0078125,-91.73031059743326,170.6377389129634
3857.421875,-91.58947593746178,8.716183222711175
3881.8359375,-91.45500952289396,9.071167318803818
3906.25,-91.31143368400375,1.565621178351054
3930.6640625,-91.23146235717405,175.2028048330448
3955.078125,-91.25921341569588,2.308195714234893
3979.4921875,-91.40853876081428,17.64080806935727
4003.90625,-91.74466189100229,31.43232926996834
4028.3203125,-91.99702156194175,76.07333673589814
4052.734375,-92.02513842772696,133.5007412117602
4077.1484375,-91.83635227984068,143.8502317509826
4101.5625,-91.67210334561975,131.1567874384696
4125.9765625,-91.58193566236909,117.9367449850372
4150.390625,-91.64696029852409,106.4492090137419
4174.8046875,-91.79571124240078,101.8335456669661
4199.21875,-91.79574983779175,101.1684527088148
4223.6328125,-91.73785796595755,85.95318557632584
4248.046875,-91.67609895663425,80.53388742126343
